ID,DISTRITO,same_as_wikidata_distrito,BARRIO,same_as_wikidata_barrio,TIPO_VEHICULO,CLASIFICACION_AMBIENTAL,TIPO_CARBURANTE
00766490,--,,--,,CAMION,CeroEmisiones,ELECTRICO
220422703,Arganzuela,https://wikidata.org/entity/Q2000929,--,,TURISMO,CeroEmisiones,ELECTRICO
22132317,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,PHEV
221589125,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,PHEV
22174334,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,ELECTRICO
221465446,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,ELECTRICO
222594348,Arganzuela,https://wikidata.org/entity/Q2000929,ACACIAS,https://wikidata.org/entity/Q3319190,TURISMO,CeroEmisiones,PHEV
222144447,Arganzuela,https://wikidata.org/entity/Q2000929,ACACIAS,https://wikidata.org/entity/Q3319190,TURISMO,CeroEmisiones,ELECTRICO
222698125,Arganzuela,https://wikidata.org/entity/Q2000929,ACACIAS,https://wikidata.org/entity/Q3319190,TURISMO,CeroEmisiones,ELECTRICO
222155462,Arganzuela,https://wikidata.org/entity/Q2000929,ACACIAS,https://wikidata.org/entity/Q3319190,TURISMO,CeroEmisiones,ELECTRICO
222629399,Arganzuela,https://wikidata.org/entity/Q2000929,ACACIAS,https://wikidata.org/entity/Q3319190,TURISMO,CeroEmisiones,ELECTRICO
22294608,Arganzuela,https://wikidata.org/entity/Q2000929,ACACIAS,https://wikidata.org/entity/Q3319190,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
222959677,Arganzuela,https://wikidata.org/entity/Q2000929,ACACIAS,https://wikidata.org/entity/Q3319190,TURISMO,CeroEmisiones,ELECTRICO
222533537,Arganzuela,https://wikidata.org/entity/Q2000929,ACACIAS,https://wikidata.org/entity/Q3319190,TURISMO,ECO,PHEV
00778730,--,,--,,CAMION,CeroEmisiones,ELECTRICO
00320618,--,,--,,CAMION,CeroEmisiones,ELECTRICO
11196918,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,ELECTRICO
111331447,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,ELECTRICO
111681965,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
111844793,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
111569995,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,ELECTRICO
111215922,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
111739924,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,ELECTRICO
111333989,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
111574362,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,ELECTRICO
111679263,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,ELECTRICO
223673699,Arganzuela,https://wikidata.org/entity/Q2000929,CHOPERA,https://wikidata.org/entity/Q3773750,TURISMO,CeroEmisiones,ELECTRICO
223345840,Arganzuela,https://wikidata.org/entity/Q2000929,CHOPERA,https://wikidata.org/entity/Q3773750,TURISMO,CeroEmisiones,PHEV
223488265,Arganzuela,https://wikidata.org/entity/Q2000929,CHOPERA,https://wikidata.org/entity/Q3773750,TURISMO,CeroEmisiones,ELECTRICO
223372889,Arganzuela,https://wikidata.org/entity/Q2000929,CHOPERA,https://wikidata.org/entity/Q3773750,TURISMO,CeroEmisiones,PHEV
22316280,Arganzuela,https://wikidata.org/entity/Q2000929,CHOPERA,https://wikidata.org/entity/Q3773750,TURISMO,CeroEmisiones,PHEV
224372714,Arganzuela,https://wikidata.org/entity/Q2000929,LEGAZPI,https://wikidata.org/entity/Q3773990,CAMION,CeroEmisiones,ELECTRICO
112558287,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,PHEV
112403858,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,ELECTRICO
112980745,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,ELECTRICO
112294935,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,ELECTRICO
112905518,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,PHEV
112622109,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,PHEV
112806896,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,ELECTRICO
11217325,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,PHEV
11251113,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,PHEV
22434145,Arganzuela,https://wikidata.org/entity/Q2000929,LEGAZPI,https://wikidata.org/entity/Q3773990,TURISMO,CeroEmisiones,ELECTRICO
224741661,Arganzuela,https://wikidata.org/entity/Q2000929,LEGAZPI,https://wikidata.org/entity/Q3773990,TURISMO,CeroEmisiones,ELECTRICO
224147305,Arganzuela,https://wikidata.org/entity/Q2000929,LEGAZPI,https://wikidata.org/entity/Q3773990,TURISMO,CeroEmisiones,ELECTRICO
224239684,Arganzuela,https://wikidata.org/entity/Q2000929,LEGAZPI,https://wikidata.org/entity/Q3773990,TURISMO,CeroEmisiones,ELECTRICO
22456412,Arganzuela,https://wikidata.org/entity/Q2000929,LEGAZPI,https://wikidata.org/entity/Q3773990,TURISMO,CeroEmisiones,PHEV
224773167,Arganzuela,https://wikidata.org/entity/Q2000929,LEGAZPI,https://wikidata.org/entity/Q3773990,TURISMO,CeroEmisiones,ELECTRICO
111741303,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,SinDistintivoAmbiental,PHEV
112375336,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,CAMION,CeroEmisiones,ELECTRICO
112802012,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,ELECTRICO
112868033,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,ELECTRICO
112407867,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,PHEV
112447459,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,ELECTRICO
112440133,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,ELECTRICO
11273771,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,PHEV
112652703,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,ECO,PHEV
225603497,Arganzuela,https://wikidata.org/entity/Q2000929,DELICIAS,https://wikidata.org/entity/Q3773736,TURISMO,CeroEmisiones,ELECTRICO
225361871,Arganzuela,https://wikidata.org/entity/Q2000929,DELICIAS,https://wikidata.org/entity/Q3773736,TURISMO,CeroEmisiones,PHEV
225568691,Arganzuela,https://wikidata.org/entity/Q2000929,DELICIAS,https://wikidata.org/entity/Q3773736,TURISMO,CeroEmisiones,ELECTRICO
225523515,Arganzuela,https://wikidata.org/entity/Q2000929,DELICIAS,https://wikidata.org/entity/Q3773736,TURISMO,CeroEmisiones,ELECTRICO
225974262,Arganzuela,https://wikidata.org/entity/Q2000929,DELICIAS,https://wikidata.org/entity/Q3773736,TURISMO,CeroEmisiones,PHEV
225443324,Arganzuela,https://wikidata.org/entity/Q2000929,DELICIAS,https://wikidata.org/entity/Q3773736,TURISMO,CeroEmisiones,PHEV
225867735,Arganzuela,https://wikidata.org/entity/Q2000929,DELICIAS,https://wikidata.org/entity/Q3773736,TURISMO,CeroEmisiones,PHEV
225340504,Arganzuela,https://wikidata.org/entity/Q2000929,DELICIAS,https://wikidata.org/entity/Q3773736,TURISMO,CeroEmisiones,ELECTRICO
225209496,Arganzuela,https://wikidata.org/entity/Q2000929,DELICIAS,https://wikidata.org/entity/Q3773736,TURISMO,CeroEmisiones,ELECTRICO
225331547,Arganzuela,https://wikidata.org/entity/Q2000929,DELICIAS,https://wikidata.org/entity/Q3773736,TURISMO,ECO,PHEV
113773287,Centro,https://wikidata.org/entity/Q1763376,CORTES,https://wikidata.org/entity/Q2535637,TURISMO,CeroEmisiones,ELECTRICO
113419792,Centro,https://wikidata.org/entity/Q1763376,CORTES,https://wikidata.org/entity/Q2535637,TURISMO,CeroEmisiones,PHEV
11381830,Centro,https://wikidata.org/entity/Q1763376,CORTES,https://wikidata.org/entity/Q2535637,TURISMO,CeroEmisiones,ELECTRICO
11313813,Centro,https://wikidata.org/entity/Q1763376,CORTES,https://wikidata.org/entity/Q2535637,TURISMO,CeroEmisiones,PHEV
113463183,Centro,https://wikidata.org/entity/Q1763376,CORTES,https://wikidata.org/entity/Q2535637,TURISMO,CeroEmisiones,ELECTRICO
113445733,Centro,https://wikidata.org/entity/Q1763376,CORTES,https://wikidata.org/entity/Q2535637,TURISMO,CeroEmisiones,PHEV
1136983,Centro,https://wikidata.org/entity/Q1763376,CORTES,https://wikidata.org/entity/Q2535637,TURISMO,CeroEmisiones,PHEV
113216759,Centro,https://wikidata.org/entity/Q1763376,CORTES,https://wikidata.org/entity/Q2535637,TURISMO,CeroEmisiones,PHEV
113869455,Centro,https://wikidata.org/entity/Q1763376,CORTES,https://wikidata.org/entity/Q2535637,TURISMO,CeroEmisiones,PHEV
114672327,Centro,https://wikidata.org/entity/Q1763376,JUSTICIA,https://wikidata.org/entity/Q1992319,TURISMO,CeroEmisiones,ELECTRICO
114153010,Centro,https://wikidata.org/entity/Q1763376,JUSTICIA,https://wikidata.org/entity/Q1992319,TURISMO,CeroEmisiones,PHEV
114383965,Centro,https://wikidata.org/entity/Q1763376,JUSTICIA,https://wikidata.org/entity/Q1992319,TURISMO,CeroEmisiones,PHEV
114370219,Centro,https://wikidata.org/entity/Q1763376,JUSTICIA,https://wikidata.org/entity/Q1992319,TURISMO,CeroEmisiones,ELECTRICO
11449906,Centro,https://wikidata.org/entity/Q1763376,JUSTICIA,https://wikidata.org/entity/Q1992319,TURISMO,CeroEmisiones,ELECTRICO
114143591,Centro,https://wikidata.org/entity/Q1763376,JUSTICIA,https://wikidata.org/entity/Q1992319,TURISMO,CeroEmisiones,PHEV
114948813,Centro,https://wikidata.org/entity/Q1763376,JUSTICIA,https://wikidata.org/entity/Q1992319,TURISMO,CeroEmisiones,PHEV
114268685,Centro,https://wikidata.org/entity/Q1763376,JUSTICIA,https://wikidata.org/entity/Q1992319,TURISMO,CeroEmisiones,PHEV
114222665,Centro,https://wikidata.org/entity/Q1763376,JUSTICIA,https://wikidata.org/entity/Q1992319,TURISMO,CeroEmisiones,ELECTRICO
22686141,Arganzuela,https://wikidata.org/entity/Q2000929,PALOSDELAFRONTERA,https://wikidata.org/entity/Q521009,TURISMO,CeroEmisiones,PHEV
226739496,Arganzuela,https://wikidata.org/entity/Q2000929,PALOSDELAFRONTERA,https://wikidata.org/entity/Q521009,TURISMO,CeroEmisiones,ELECTRICO
226725630,Arganzuela,https://wikidata.org/entity/Q2000929,PALOSDELAFRONTERA,https://wikidata.org/entity/Q521009,TURISMO,CeroEmisiones,ELECTRICO
226210560,Arganzuela,https://wikidata.org/entity/Q2000929,PALOSDELAFRONTERA,https://wikidata.org/entity/Q521009,TURISMO,CeroEmisiones,ELECTRICO
111724963,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
111113606,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,ELECTRICO
111653530,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,ELECTRICO
111847828,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
111343394,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
111430220,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
111560326,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,PHEV
111371313,Centro,https://wikidata.org/entity/Q1763376,PALACIO,https://wikidata.org/entity/Q2136510,TURISMO,CeroEmisiones,ELECTRICO
1151449,Centro,https://wikidata.org/entity/Q1763376,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,TURISMO,CeroEmisiones,PHEV
115293773,Centro,https://wikidata.org/entity/Q1763376,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,TURISMO,CeroEmisiones,ELECTRICO
227701253,Arganzuela,https://wikidata.org/entity/Q2000929,ATOCHA,https://wikidata.org/entity/Q3814594,TURISMO,CeroEmisiones,PHEV
227701898,Arganzuela,https://wikidata.org/entity/Q2000929,ATOCHA,https://wikidata.org/entity/Q3814594,TURISMO,CeroEmisiones,PHEV
115985709,Centro,https://wikidata.org/entity/Q1763376,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,TURISMO,CeroEmisiones,PHEV
115595540,Centro,https://wikidata.org/entity/Q1763376,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,TURISMO,CeroEmisiones,PHEV
115329550,Centro,https://wikidata.org/entity/Q1763376,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,TURISMO,CeroEmisiones,PHEV
00336608,--,,--,,TURISMO,CeroEmisiones,PHEV
0065255,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
115432202,Centro,https://wikidata.org/entity/Q1763376,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,TURISMO,CeroEmisiones,ELECTRICO
115200056,Centro,https://wikidata.org/entity/Q1763376,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,TURISMO,CeroEmisiones,PHEV
115332595,Centro,https://wikidata.org/entity/Q1763376,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,TURISMO,CeroEmisiones,PHEV
115195260,Centro,https://wikidata.org/entity/Q1763376,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,TURISMO,CeroEmisiones,PHEV
115608982,Centro,https://wikidata.org/entity/Q1763376,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,TURISMO,CeroEmisiones,PHEV
115974981,Centro,https://wikidata.org/entity/Q1763376,UNIVERSIDAD,https://wikidata.org/entity/Q10387767,TURISMO,CeroEmisiones,ELECTRICO
331322805,Retiro,https://wikidata.org/entity/Q2002296,PACIFICO,https://wikidata.org/entity/Q3773753,TURISMO,CeroEmisiones,ELECTRICO
331808303,Retiro,https://wikidata.org/entity/Q2002296,PACIFICO,https://wikidata.org/entity/Q3773753,TURISMO,CeroEmisiones,ELECTRICO
331438167,Retiro,https://wikidata.org/entity/Q2002296,PACIFICO,https://wikidata.org/entity/Q3773753,TURISMO,CeroEmisiones,PHEV
331167635,Retiro,https://wikidata.org/entity/Q2002296,PACIFICO,https://wikidata.org/entity/Q3773753,TURISMO,CeroEmisiones,PHEV
331317377,Retiro,https://wikidata.org/entity/Q2002296,PACIFICO,https://wikidata.org/entity/Q3773753,TURISMO,CeroEmisiones,ELECTRICO
331184457,Retiro,https://wikidata.org/entity/Q2002296,PACIFICO,https://wikidata.org/entity/Q3773753,TURISMO,CeroEmisiones,ELECTRICO
220283185,Arganzuela,https://wikidata.org/entity/Q2000929,--,,TURISMO,CeroEmisiones,ELECTRICO
220812820,Arganzuela,https://wikidata.org/entity/Q2000929,--,,TURISMO,CeroEmisiones,PHEV
112103077,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,ELECTRICO
112418514,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,CeroEmisiones,ELECTRICO
112516154,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,ECO,PHEV
11294436,Centro,https://wikidata.org/entity/Q1763376,EMBAJADORES,https://wikidata.org/entity/Q2449844,TURISMO,EtiquetaB,PHEV
116341144,Centro,https://wikidata.org/entity/Q1763376,SOL,https://wikidata.org/entity/Q2465181,TURISMO,CeroEmisiones,ELECTRICO
116916654,Centro,https://wikidata.org/entity/Q1763376,SOL,https://wikidata.org/entity/Q2465181,TURISMO,CeroEmisiones,PHEV
116428101,Centro,https://wikidata.org/entity/Q1763376,SOL,https://wikidata.org/entity/Q2465181,TURISMO,CeroEmisiones,PHEV
220901513,Arganzuela,https://wikidata.org/entity/Q2000929,--,,TURISMO,CeroEmisiones,ELECTRICO
220363233,Arganzuela,https://wikidata.org/entity/Q2000929,--,,TURISMO,ECO,PHEV
00230045,--,,--,,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
00340121,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
00207518,--,,--,,TURISMO,CeroEmisiones,PHEV
00420972,--,,--,,TURISMO,CeroEmisiones,ELECTRICO
113933310,Centro,https://wikidata.org/entity/Q1763376,CORTES,https://wikidata.org/entity/Q2535637,TURISMO,CeroEmisiones,ELECTRICO
221657140,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,PHEV
221245952,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,PHEV
221780837,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,ELECTRICO
22164542,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,PHEV
221470956,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,ELECTRICO
221658219,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,ELECTRICO
22137659,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,PHEV
221716255,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,PHEV
221279893,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,CeroEmisiones,PHEV
22133599,Arganzuela,https://wikidata.org/entity/Q2000929,IMPERIAL,https://wikidata.org/entity/Q3773740,TURISMO,ECO,PHEV
113681440,Centro,https://wikidata.org/entity/Q1763376,CORTES,https://wikidata.org/entity/Q2535637,TURISMO,CeroEmisiones,PHEV
332819954,Retiro,https://wikidata.org/entity/Q2002296,ADELFAS,https://wikidata.org/entity/Q3774001,TURISMO,CeroEmisiones,ELECTRICO
332764596,Retiro,https://wikidata.org/entity/Q2002296,ADELFAS,https://wikidata.org/entity/Q3774001,TURISMO,CeroEmisiones,ELECTRICO
332152764,Retiro,https://wikidata.org/entity/Q2002296,ADELFAS,https://wikidata.org/entity/Q3774001,TURISMO,CeroEmisiones,PHEV
332775637,Retiro,https://wikidata.org/entity/Q2002296,ADELFAS,https://wikidata.org/entity/Q3774001,TURISMO,CeroEmisiones,ELECTRICO
332962542,Retiro,https://wikidata.org/entity/Q2002296,ADELFAS,https://wikidata.org/entity/Q3774001,TURISMO,CeroEmisiones,PHEV
3323571,Retiro,https://wikidata.org/entity/Q2002296,ADELFAS,https://wikidata.org/entity/Q3774001,TURISMO,CeroEmisiones,PHEV
