DISTRITO,BARRIO,TIPO_VEHICULO,CLASIFICACION_AMBIENTAL,TIPO_CARBURANTE
Fuencarral - El Pardo,EL PARDO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,TRAFALGAR,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,TRAFALGAR,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,TRAFALGAR,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,TRAFALGAR,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,TRAFALGAR,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,TRAFALGAR,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Retiro,NIÑO JESUS,TURISMO,Cero Emisiones,ELECTRICO
Retiro,NIÑO JESUS,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Retiro,NIÑO JESUS,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Retiro,NIÑO JESUS,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Retiro,NIÑO JESUS,TURISMO,Cero Emisiones,ELECTRICO
Retiro,NIÑO JESUS,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Retiro,NIÑO JESUS,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Retiro,NIÑO JESUS,TURISMO,Cero Emisiones,ELECTRICO
Retiro,NIÑO JESUS,TURISMO,Cero Emisiones,ELECTRICO
Retiro,NIÑO JESUS,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,EL GOLOSO,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,CASA DE CAMPO,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,CASA DE CAMPO,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,CASA DE CAMPO,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,CASA DE CAMPO,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,CASA DE CAMPO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,CASA DE CAMPO,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,ALMAGRO,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,ALMAGRO,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,ALMAGRO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,ALMAGRO,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
Chamberi,ALMAGRO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,ALMAGRO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,ALMAGRO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,ALMAGRO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Salamanca,RECOLETOS,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,RECOLETOS,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,RECOLETOS,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,RECOLETOS,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,RECOLETOS,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,RECOLETOS,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PEÑA GRANDE,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Chamberi,RIOS ROSAS,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,RIOS ROSAS,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,RIOS ROSAS,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,RIOS ROSAS,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,RIOS ROSAS,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,RIOS ROSAS,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,ARGUELLES,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Chamberi,RIOS ROSAS,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,RIOS ROSAS,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,RIOS ROSAS,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,GOYA,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,GOYA,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,GOYA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,GOYA,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,GOYA,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,GOYA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,GOYA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,GOYA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Chamberi,VALLEHERMOSO,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,VALLEHERMOSO,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,VALLEHERMOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,FUENTE DEL BERRO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,FUENTE DEL BERRO,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,FUENTE DEL BERRO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,FUENTE DEL BERRO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,FUENTE DEL BERRO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,FUENTE DEL BERRO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,FUENTE DEL BERRO,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,FUENTE DEL BERRO,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,VALLEHERMOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,VALLEHERMOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,VALLEHERMOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,VALLEHERMOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,VALLEHERMOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Chamberi,VALLEHERMOSO,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,VALLEHERMOSO,TURISMO,Cero Emisiones,ELECTRICO
Chamberi,VALLEHERMOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,VALDEZARZA,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,VALDEZARZA,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,VALDEZARZA,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,VALDEZARZA,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,VALDEZARZA,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,VALDEZARZA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,GUINDALERA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,GUINDALERA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,GUINDALERA,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,GUINDALERA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,GUINDALERA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Salamanca,GUINDALERA,TURISMO,Cero Emisiones,ELECTRICO
Salamanca,GUINDALERA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,--,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,--,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,EL PARDO,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,VALDEZARZA,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,FUENTELARREINA,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,ELECTRICO
Fuencarral - El Pardo,VALVERDE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,VALDEMARIN,TURISMO,Cero Emisiones,ELECTRICO
Moncloa - Aravaca,VALDEMARIN,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,VALDEMARIN,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,VALDEMARIN,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
Moncloa - Aravaca,VALDEMARIN,TURISMO,Cero Emisiones,ELECTRICO
