ID,DISTRITO,BARRIO,TIPO_VEHICULO,CLASIFICACION_AMBIENTAL,TIPO_CARBURANTE
443685546,Salamanca,FUENTEDELBERRO,TURISMO,CeroEmisiones,PHEV
443106156,Salamanca,FUENTEDELBERRO,TURISMO,CeroEmisiones,ELECTRICO
443800261,Salamanca,FUENTEDELBERRO,TURISMO,ECO,PHEV
662645296,Tetuan,CUATROCAMINOS,TURISMO,CeroEmisiones,ELECTRICO
662135590,Tetuan,CUATROCAMINOS,TURISMO,CeroEmisiones,PHEV
662273786,Tetuan,CUATROCAMINOS,TURISMO,CeroEmisiones,ELECTRICO
662137833,Tetuan,CUATROCAMINOS,TURISMO,CeroEmisiones,PHEV
662654701,Tetuan,CUATROCAMINOS,TURISMO,CeroEmisiones,ELECTRICO
662580402,Tetuan,CUATROCAMINOS,TURISMO,CeroEmisiones,PHEV
445649222,Salamanca,LISTA,TURISMO,CeroEmisiones,ELECTRICO
445905093,Salamanca,LISTA,TURISMO,CeroEmisiones,ELECTRICO
445798143,Salamanca,LISTA,TURISMO,CeroEmisiones,ELECTRICO
445720175,Salamanca,LISTA,TURISMO,CeroEmisiones,PHEV
445219477,Salamanca,LISTA,TURISMO,CeroEmisiones,PHEV
445717314,Salamanca,LISTA,TURISMO,CeroEmisiones,PHEV
445330008,Salamanca,LISTA,TURISMO,CeroEmisiones,ELECTRICO
552422309,Chamartin,PROSPERIDAD,TURISMO,CeroEmisiones,ELECTRICO
552414165,Chamartin,PROSPERIDAD,TURISMO,CeroEmisiones,PHEV
55228093,Chamartin,PROSPERIDAD,TURISMO,CeroEmisiones,ELECTRICO
552768856,Chamartin,PROSPERIDAD,TURISMO,CeroEmisiones,ELECTRICO
552783593,Chamartin,PROSPERIDAD,TURISMO,CeroEmisiones,PHEV
222667510,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,ELECTRICO
222195017,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,PHEV
222132357,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,PHEV
222954608,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,ELECTRICO
222992231,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,ELECTRICO
222691509,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,PHEV
222215782,Arganzuela,ACACIAS,TURISMO,CeroEmisiones,ELECTRICO
444954485,Salamanca,GUINDALERA,TURISMO,CeroEmisiones,ELECTRICO
444336161,Salamanca,GUINDALERA,TURISMO,CeroEmisiones,ELECTRICO
444454780,Salamanca,GUINDALERA,TURISMO,CeroEmisiones,PHEV
444442066,Salamanca,GUINDALERA,TURISMO,CeroEmisiones,PHEV
44430635,Salamanca,GUINDALERA,TURISMO,CeroEmisiones,ELECTRICO
444978795,Salamanca,GUINDALERA,TURISMO,CeroEmisiones,PHEV
444958563,Salamanca,GUINDALERA,TURISMO,CeroEmisiones,PHEV
444957926,Salamanca,GUINDALERA,TURISMO,ECO,PHEV
553956108,Chamartin,CIUDADJARDIN,TURISMO,CeroEmisiones,ELECTRICO
