tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;direccion_longitud;direccion_latitud;horario_acceso;codigo_dea
Otros;Privada;079;Madrid;AVDA;de Bruselas;34;;;28028;HALL DE LA RECEPCION DEL EDIFICIO ;445579;4486744;-3,64253886743531;40,5296482966518;;2018-1383
Instalaciones de transporte;Pública;079;Madrid;AVDA;de Bruselas;0;;;28028;DENTRO ESTACIÓN DE METRO PARQUE DE LAS AVENIDAS,EN EL VESTÍBULO ;443765;4476740;-3,66306765186775;40,439406775344;;2019-35
Instalaciones de transporte;Pública;079;Madrid;AVDA;de Bruselas;14;;;28028;DENTRO DE LA ESTACIÓN DE METRO LA MORALEJA EN EL VESTÍBULO;446177;4486982;-3,63549905877743;40,5318313447503;;2018-3039
Otros;Privada;079;Madrid;AVDA;de Bruselas;32;;;28108;Alcobendas ;445613;4486773;-3,64213995322779;40,5299117719818;;2018-1757
Otros;Privada;079;Madrid;AVDA;de Bucaramanga;2;1ª;;28033;CC COLOMBIA ;446087;4480351;-3,63599721111581;40,4720903821844;;2023-788
Otros;Privada;079;Madrid;CALLE;del Buen Gobernador;16;;;28027;EN EL HALL DE ENTRADA FUNDACIÓN PREVENT;444490;4476083;-3,65446230759874;40,4335368824973;;2018-1513
Otros;Privada;079;Madrid;CALLE;del Buen Suceso;19;B;;28008;UGT SERVICIOS PUBLICOS DE MADRID ;439031;4475542;-3,71876737856088;40,4282810798567;9 a 18 horas de lunes a jueves no festivos y viernes de 9 a 14 horas;2022-607
Centro educativo;Privada;079;Madrid;CALLE;de Buendía;50;;;28053;Aula infantil ;443003;4470393;-3,67148326385772;40,3821776854331;;2023-447
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;109;;;28050;EDIFICIO CASER CASER SEGUROS;443381;4483120;-3,66816446857183;40,4968546836985;8-20;2017-387
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;8;6ª;;;AGENCIA EFE ;442753;4480557;-3,67534359018301;40,4737230260568;;2018-149
Otros;Privada;079;Madrid;AVDA;de Burgos;19;;;28036;EN EL HALL DE LA ENTRADAHDAD. NCNAL. DE ARQUITECTOS SUP Y TÉCNICOS;442691;4480572;-3,67607631198933;40,4738538768506;24 H;2017-423
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;89 F;;;;HALL ENTRADA VESTÍBULO PPAL JUNTO PUESTO CONTROL EDIFICIO 6 ADEQUA TÉCNICAS REUNIDAS SA;443193;4482816;-3,67035566806177;40,4941032790572;;2018-1115
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;89E;;;;HALL ENTRADA VESTÍBULO PPAL. JUNTO PUESTO CONTROL EDIFICIO 5 ADEQUA TÉCNICAS REUNIDAS S.A.;442992;4482585;-3,67270664787592;40,4920085543828;;2018-1118
Otros;Privada;079;Madrid;AVDA;de Burgos;85;;;28050;VIA DE SERVICIO N-I. EN EL DESPACHO DE DIRECCIÓN FUNDACIÓN JARDÍNES DE ESPAÑA;442880;4482305;-3,67400294802717;40,4894784990952;24 H;2018-1097
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;91;;;28050;ABBOTT LABORATORIES, S.A. ;443049;4482827;-3,67205582975441;40,4941925029704;08:00 - 17:00;2018-2536
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;91;;;28050;;443154;4483224;-3,67085246816106;40,4977760398907;08:00 - 17:00;2018-2538
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;91;;;28050;;443085;4482805;-3,67162905982137;40,4939967874284;DE 8:00 A 17:00;2018-2541
Otros;Privada;079;Madrid;AVDA;de Burgos;93;;;28050;HALL ENTRADA ;443230;4482861;-3,66992310671051;40,4945111893269;;2019-372
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;AVDA;de Burgos;18;;;28036;;442763;4480850;-3,67525207002047;40,4763631864494;09:00 - 23:00 L a D;2019-795
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;12;;;28036;Entrada ppal pared dcha ;442773;4480585;-3,6751101917805;40,4739766405495;;2019-628
Otros;Privada;079;Madrid;AVDA;de Burgos;18;3ª;;28036;EN ESPACIO WELLNESS, ENTRANDO , A LA IZQUIERDA JUNTO A LA VENTANA ;442749;4480795;-3,67541225874708;40,4758667576812;9-20H;2019-922
Otros;Privada;079;Madrid;AVDA;de Burgos;18;Baja;;28036;"PLANTA BAJA - EN COLUMNA FRENTE A LA RECEPCIÓN ""ESPACIO CANDIDATO EN EL LADO IZQUIERDO EN SENTIDO SALIDA";442749;4480795;-3,67541225874708;40,4758667576812;9-20 H;2019-923
Establecimiento hotelero con más de 100 plazas;Privada;079;Madrid;AVDA;de Burgos;131;;;28050;NH LAS TABLAS ;443679;4483260;-3,66466042289492;40,4981361399279;24H;2020-60
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;;;;;CAJA DE SEGUROS REUIIDOS CIA DE SEGUROS Y REASEGUROS ;443383;4483121;-3,66814095733292;40,4968638285598;24 horas;2020-824
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;8;;;28036;Planta 6ª ;442777;4480536;-3,6750585859544;40,4735355027638;;2022-1300
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;91;;;28050;ABBVIE ;443166;4482789;-3,67067184126788;40,4938582034481;;2023-679
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;91;;;28050;ABBVIE ;443133;4482770;-3,67105952851435;40,493684783208;;2023-680
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;8;6;;28031;Planta 6 zona recepción ;442735;4480497;-3,67555050540751;40,4731812790336;;2024-347
Otros;Privada;079;Madrid;AVDA;de Burgos;8;;;28036;C.P AVDA. BURGOS 8 ;442726;4480500;-3,67565694155239;40,4732076837766;24H;2024-70
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;8;13;;28031;Planta 13 zona de recepción. ;442735;4480497;-3,67555050540751;40,4731812790336;;2024-345
Otros;Privada;079;Madrid;AVDA;de Burgos;118;2;;28050;2ª PLANTA TORRE ESTE ;443023;4482211;-3,67230724054613;40,4886415355166;LUNES A VIERNES, HORARIO: 09:00 A 18:00.;2024-762
Otros;Privada;079;Madrid;AVDA;de Burgos;118;0;;28050;BRAND ACADEMY ;443023;4482211;-3,67230724054613;40,4886415355166;LUNES A VIERNES, HORARIO: 09:00 A 18:00.;2024-763
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;118;5;;28050;5ª PLANTA TORRE ESTE ;443023;4482211;-3,67230724054613;40,4886415355166;LUNES A VIERNES, HORARIO: 09:00 A 18:00.;2024-760
Otros;Privada;079;Madrid;AVDA;de Burgos;87;;;28050;Edificio PORSCHE ;442915;4482380;-3,67359673863094;40,4901565378012;24H;2024-642
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;89;5;;28050;Parque Adequa, edificio 5 ;442946;4482511;-3,67324275976825;40,4913387712486;7-19;2024-604
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;de Burgos;118;4;;28050;4ª PLANTA TORRE ESTE ;443023;4482211;-3,67230724054613;40,4886415355166;LUNES A VIERNES, HORARIO: 09:00 A 18:00.;2024-761
Otros;Privada;079;Madrid;AVDA;de Burgos;89;;;28050;ENTRADA PRINCIPAL PASADOS LOS TORNOS ;442920;4482779;-3,67357368304324;40,4937512375434;24H;2024-813
Otros;Privada;079;Madrid;AVDA;de Burgos;87;;;28050;Edificio PORSCHE ;442915;4482380;-3,67359673863094;40,4901565378012;24H;2024-641
Otros;Privada;079;Madrid;AVDA;de Burgos;87;;;28050;Edificio PORSCHE ;442915;4482380;-3,67359673863094;40,4901565378012;24h;2024-890
Centro educativo;Privada;079;Madrid;CALLE;del Butrón;33;;;28022;;448478;4475308;-3,6073836170148;40,4268118007866;;2018-2568
Otros;Privada;079;Madrid;CALLE;del Caballero de Gracia;30;;;28013;PARKING ;440718;4474495;-3,69878304059451;40,4189711419726;9:00 A 18:00;2023-373
Establecimiento dependiente de una Administración Pública;Pública;047;Collado Villalba;CALLE;Piedrahita;42;;;28400;O.E. EMPLEO ;415312;4498981;-4,00149614705896;40,6373337545165;8:30 - 14:30;2019-747
Establecimiento dependiente de una Administración Pública;Pública;047;Collado Villalba;CALLE;Piedrahita;42;;;28400;O.EMPLEO ;415312;4498981;-4,00149614705896;40,6373337545165;8:30-14:30;2019-748
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;del Alberche;21;;;28007;CENTRO DEPORTIVO DAOIZ Y VELARDE ;442482;4472469;-3,67780825907686;40,4008436545088;;2022-245
Establecimiento público con aforo igual o superior a 2000 personas;Pública;079;Madrid;CALLE;del Alberche;14;;;28007;Centro Cultural Daoiz y Velarde ;442574;4472544;-3,67673094275272;40,4015256453549;;2022-1122
Otros;Privada;079;Madrid;CALLE;del Alberche;21;;;28007;FEDERAC. MADRILEÑA KARATE Y D.A. ;442540;4472451;-3,67712319137153;40,4006855050102;;2023-315
Otros;Privada;079;Madrid;CALLE;de Barbadillo;4;3;;28042;OFICINA EIFFAGE ENERGIA S.L.U ;450803;4478015;-3,58018557738132;40,451338970201;8:00 a 13:00 y de14:30 a 18:00;2019-1915
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Barbadillo;7;BAJA;;28042;CERCA DE RECEPCIÓN TECHNO SECURITY;450777;4478068;-3,5804962918397;40,4518148885418;L A V DE 8-16.30;2018-1742
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Bárbara de Braganza;13;;;28004;ENTRADA JUNTO A TAQUILLAS ;441305;4474981;-3,69190914964959;40,4233908768703;;2019-620
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Bárbara de Braganza;14;;;28004;Entrada, pared dcha detrás de Recepción ;441274;4474979;-3,69227437424365;40,4233706724486;;2019-623
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;CALLE;de Bárbara de Braganza;6;;;28004;TRIBUNAL SUPREMO ;441290;4475200;-3,69210618175303;40,4253626760413;8:00H A 15:00H;2023-234
Instalaciones de transporte;Pública;079;Madrid;CALLE;de Barceló;2;;;28004;DENTRO DE LA ESTACIÓN DE METRO DE TRIBUNAL EN EL ANDÉN I DE LA LÍNEA I;440552;4475306;-3,70081543451043;40,4262651671036;;2018-2813
Instalaciones de transporte;Pública;079;Madrid;CALLE;de Barceló;2;;;28004;DENTRO DE LA ESTACIÓN DE METRO TRIBUNAL EN EL ANDEN 1 LINEA 10;440552;4475306;-3,70081543451043;40,4262651671036;24 HORAS - ABIERTO AL PÚBLICO DE 6:00 A 1:30;2018-2950
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;CALLE;de Barceló;6;;;28004;FORUS BARCELÓ ;440721;4475355;-3,6988278514015;40,4267186409217;L a V 07h a 24h S y D 07h a 22h;2023-109
Centro educativo;Pública;053;Daganzo de Arriba;CALLE;Alcalá;0;;;28814;Calle Alcala esquina CTRA M-113 ;461282;4488223;-3,45723370992813;40,5438543505119;15:00 A 20:30 De lunes a viernes LECTIVO ESCOLAR;2021-892
Otros;Privada;053;Daganzo de Arriba;CTRA;Alcalá;8,400;;;28814;COMEDOR ;462847;4487543;-3,43871266470974;40,5378000972678;;2022-941
Otros;Privada;053;Daganzo de Arriba;CMNO;Ancho;44;;;28814;PRODUCTOS JESUS,S.L. POLIGONO INDUSTRIAL GITESA;461062;4487740;-3,45980193069321;40,539492854398;7-18;2020-599
Otros;Privada;053;Daganzo de Arriba;CMNO;Ancho;44;;;28814;PLANTA DE FABRICACION PRDUCTOS JESUS,S.L.;461062;4488774;-3,45986563342439;40,5488078111915;07:00-18:00;2020-596
Otros;Pública;066;Griñón;CALLE;del Villar;12;;;28971;VEHICULO DE POLICIA ;420729;4451982;-3,93158476800079;40,214507498891;24 HORAS;2019-806
Otros;Pública;066;Griñón;PASEO;de la Cárcava;20;;;28971;EN EL HALL DE ENTRADA AYUNTAMIENTO DE GRIÑÓN;427413;4452017;-3,85304764628415;40,21542829497;;2019-418
Otros;Pública;066;Griñón;CALLE;de la Ermita;1;;;28971;;427511;4452119;-3,85190757127533;40,2163556402026;24h;2023-146
Otros;Pública;066;Griñón;CALLE;Fuentesanta;1;;;28971;CAMPO DE FÚTBOL. EN CUARTO DE ÁRBIRROS JUNTO A VESTUARIOS AYUNTAMIENTO DE GRIÑÓN;427862;4451886;-3,84775680722015;40,2142869493393;;2019-416
Centro educativo;Privada;066;Griñón;CALLE;Levante;1;;;28971;PASILLO EDUCACION INFANTIL ;427176;4451669;-3,85579315553123;40,2122727914689;08:00 A 17:00;2018-3046
Centro educativo;Privada;066;Griñón;CALLE;Levante;1;;;28971;SALA PROFESORES SECUNDARIA ;427176;4451669;-3,85579315553123;40,2122727914689;8:00 A 17:00;2018-3048
Otros;Pública;066;Griñón;CALLE;de la Llanada;23;;;28971;CENTRO DE RECURSOS JUVENILES. HALL DE ENTRADA AYUNTAMIENTO DE GRIÑÓN;427384;4451414;-3,85332028256378;40,2099936758309;;2019-417
Otros;Pública;066;Griñón;PLAZA;Mayor;1;;;28971;CASA CONSISTORIAL. EN EL HALL DE ENTRADA AYUNTAMIENTO DE GRIÑÓN;427428;4451758;-3,85284213255179;40,2130964006262;7:30 A 15:00;2019-415
Otros;Privada;066;Griñón;CALLE;Noruega;4;;;28971;;427243;4450818;-3,85490955843943;40,2046123995787;;2019-139
Otros;Privada;066;Griñón;CALLE;Noruega;4;;;28971;NANTA SAU ;427195;4450791;-3,85547045111779;40,2043650041551;;2019-136
Otros;Privada;066;Griñón;CALLE;Noruega;4;;;28971;NANTA SAU ;427195;4450791;-3,85547045111779;40,2043650041551;;2019-137
Otros;Privada;047;Collado Villalba;CALLE;Camino del Molino;5;;;28400;MUSACHI SPAIN VILLALBA ;413307;4497938;-4,02505944538574;40,6277310237883;;2022-1141
Otros;Privada;047;Collado Villalba;CALLE;Camino del Molino;5;;;28400;;413576;4498172;-4,02191139871017;40,6298669372385;24H;2023-126
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;058;Fuenlabrada;CALLE;Portugal;33;;;28943;planta baja PAIDESPORT CENTER;431151;4459419;-3,80991713172815;40,2824247021038;L-V 8:30-22:30 S-D 10,00-15:00;2018-1233
Establecimiento dependiente de una Administración Pública;Pública;058;Fuenlabrada;PASEO;Riazor;s/n;;;28942;CAMPO DE FUTBOL EL NARANJO DENTRO DEL RECINTO ;431135;4461653;-3,81034569025622;40,3025482475672;L a V de 17:00 a 23:00 / Fines semana según actidad;2018-2156
Instalaciones de transporte;Pública;058;Fuenlabrada;CALLE;Barcelona;0;;;28945;Estación Cercanías La Serna ;432634;4460990;-3,79263852421953;40,2966978286873;;2019-2862
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;058;Fuenlabrada;CALLE;Barcelona;0;;;28945;Situado en la entreplanta, junto a máquinas de vending ENJOY WELLNESS FUENLABRADA SL;432729;4460927;-3,79151421832864;40,2961379466677;L-V 7-23 H. SY D 9-21 FESTIVOS 9-15 H. ;2018-3194
Establecimiento dependiente de una Administración Pública;Pública;058;Fuenlabrada;CALLE;Higueral;1;;;28944;HALL ENTRADA - CAMPO DE FUTBOL EL ARROYO ;432127;4458590;-3,79834900231336;40,2750364559423;L a V de 17:00 a 23:00 Fines de semana según actividad;2018-2160
Establecimiento dependiente de una Administración Pública;Pública;058;Fuenlabrada;CALLE;Islandia;1;;;28942;HALL ENTRADA - CENTRO DEPORTIVO ISLANDIA ;431248;4460358;-3,80887699562897;40,2908916233458;M a V 17:00 a 22:00;2018-2158
Centros residenciales de mayores con 200 plazas;Privada;058;Fuenlabrada;CALLE;de Finlandia;2;0;;28942;HALL DE ENTRADA, TRAS SALA DE ESPERA. ZONA DE TRATAMIENTOS ASOCIACIÓN ASPANDI;431459;4460284;-3,80638686050286;40,2902423251847;8-20;2018-570
Otros;Privada;058;Fuenlabrada;CALLE;de Finlandia;6;;;28942;;431526;4460325;-3,80560306309521;40,290617162762;;2024-175
Otros;Privada;058;Fuenlabrada;CALLE;Molinaseca;23;;;28947;;436184;4456487;-3,7504235721318;40,2564107323682;;2022-1051
Establecimiento dependiente de una Administración Pública;Pública;058;Fuenlabrada;AVDA;de las Comarcas;2;;;28941;HALL ENTRADA - Centro Civico La Serna ;432354;4461041;-3,79593813725163;40,2971346441008;Lunes a domingo de 8:00 a 24:00;2018-2191
Establecimiento dependiente de una Administración Pública;Pública;058;Fuenlabrada;AVDA;de las Comarcas;2;;;28941;PASILLO ENTRADA-Centro Recursos educativos Julio Verne (UNED) ;431917;4460655;-3,80103843932505;40,2936218929351;Lunes a Viernes de 8:00 a 22:00;2018-2192
Centro educativo;Privada;058;Fuenlabrada;AVDA;de las Comarcas;70;;;28941;HALL ENTRADA ;431643;4461275;-3,80432814509107;40,2991847688787;;2020-97
Otros;Privada;058;Fuenlabrada;AVDA;de las Comarcas;2;;;28941;;432446;4461006;-3,79485204833564;40,296826789223;L-J 9:00-18:00V 9:00-15:00;2022-1296
Centro educativo;Privada;058;Fuenlabrada;AVDA;de las Comarcas;70;;;28941;;431644;4461270;-3,80431584545255;40,299139808445;;2023-131
Centro educativo;Privada;058;Fuenlabrada;CALLE;de Mónaco;6;;;28943;COLEGIO ALBANTA ;431481;4458988;-3,80598937324391;40,2785691574571;;2019-489
Otros;Privada;079;Madrid;CALLE;de Cabeza Mesada;5;4;;28031;RECEPCIÓN ;446559;4469757;-3,62953907065527;40,3766838346674;de L a V de 08:00 - 14:00 y 15:30 - 18:00;2019-2445
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Cabeza Mesada;5;;;28031;PASILLO HACIA DESPACHOS, ALA DERECHA ;446573;4469751;-3,62937365606617;40,3766306802758;;2022-412
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Cabeza Mesada;5;;;28031;Vallecas Madrid. Ubicado en la zona de recepción planta Vienext. ;446574;4469756;-3,62936229579021;40,3766757877341;;2024-346
Otros;Privada;079;Madrid;CALLE;de Cáceres;50;;;28045;IZQUIERDA PUERTA GARITA GARAJE ;440584;4472239;-3,70015179999505;40,3986384309895;24 H 365 DIAS;2020-624
Establecimiento hotelero con más de 100 plazas;Privada;065;Getafe;CALLE;Velasco;7;;;28901;HALL ENTRE LOS PUESTOS DE RECEPCIÓN Y DIRECCION HOSTAL CARLOS III;437904;4462211;-3,73075440241765;40,3081055049824;;2019-2695
Centro educativo;Privada;065;Getafe;CALLE;Velasco;2;;;28901;UBICADO EN LA ENTRADA DEL CENTRO EDUCATIVO - COLEGIO SAN JOSÉ FES D;437933;4462241;-3,73041606405189;40,3083779176958;horario escolar;2020-328
Centro de trabajo con más de 250 trabajadores;Privada;065;Getafe;CTRA;Toledo;km12.2;;;;EN NAVE 1. EJES Y ENGRANAJES. JUNTO PUNTO LIMPIO HORNO HOLCROFT JOHN DEERE IBÉRICA S.A.;437430;4463076;-3,73641670777634;40,315862551351;24H;2018-1317
Centro de trabajo con más de 250 trabajadores;Privada;065;Getafe;CTRA;Toledo;KM12,2;BAJA;;;AUTOVIA A 42. EDIFICIO DONDE SE UBICA EL SERVICIO SANITARIO. JOHN DEERE IBERICA S.A.;437428;4463075;-3,73644014703154;40,3158533929488;;2018-1955
Otros;Pública;065;Getafe;CTRA;Toledo;12,500;;;28900;CAFETERÍA PÚBLICA HOSPITAL UNIVERSITARIO DE GETAFE ;436835;4462636;-3,74337552764435;40,3118539999646;7-23;2020-190
Otros;Privada;065;Getafe;CTRA;Toledo;12,5;;;28905;Cafetería Hospital Universitario de Getafe;436907;4462615;-3,74252617026729;40,3116702617547;;2023-696
Otros;Privada;065;Getafe;CTRA;Toledo;12,5;;;28905;Cafetería Hospital Universitario de Getafe;436905;4462613;-3,742549508566;40,31165209357;;2023-695
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;065;Getafe;CTRA;Andalucía;17;;;28906;PARQUE DE OCIO NASSICA - SALIDA 17 N-IV LEROY MERLIN GETAFE - AL LADO SEGURIDAD;440536;4458027;-3,69939424391737;40,270604687505;10-22 H;2018-2820
Establecimiento hotelero con más de 100 plazas;Privada;065;Getafe;CTRA;Andalucía;14;;;28906;;441227;4461687;-3,69160350071106;40,3036253546604;;2023-86
Establecimiento hotelero con más de 100 plazas;Privada;065;Getafe;CTRA;Andalucía;12,700;;;28906;HOTEL LOS OLIVOS ;441336;4462725;-3,69041615833998;40,3129840103571;24H;2024-704
Centro de trabajo con más de 250 trabajadores;Privada;065;Getafe;CALLE;de los Torneros;36;;;28906;POLIGONO INDUSTRIAL LOS ANGELES RECEPCION;440832;4462056;-3,69628541975417;40,3069216718441;;2018-3013
Centro de trabajo con más de 250 trabajadores;Privada;065;Getafe;CALLE;de los Torneros;36;;;28906;PRIMERA PLANTA ;440832;4462056;-3,69628541975417;40,3069216718441;;2018-3014
Otros;Privada;065;Getafe;CALLE;de los Torneros;32;;;28906;FUNDACIÓN CARES EN HALL DE ENTRADA A LA NAVE;440832;4461848;-3,69626617890656;40,3050478708511;L-V 7:00-15:00;2019-954
Otros;Privada;065;Getafe;CALLE;de los Torneros;1;;;28906;;440436;4461969;-3,70093709250508;40,3061097798509;;2023-134
Otros;Privada;053;Daganzo de Arriba;CALLE;los Frailes;88;;;28814;Hall de entrada, enfrente de la puerta de oficina ;462088;4486526;-3,4476139136389;40,5286038782281;;2024-628
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;074;Leganés;PLAZA;Comunidad de Madrid;2;;;28914;CENTRO COMERCIAL LA PLAZA ;435638;4464413;-3,75764054445554;40,3277707562363;L A D 9-21;2018-2517
Establecimiento dependiente de una Administración Pública;Pública;074;Leganés;PLAZA;Comunidad de Madrid;5;B;;28914;JUZGADOS DE LEGANES. SEGURIDAD. PLANTA BAJA ;435633;4464397;-3,75769778547387;40,327626234713;;2021-838
Establecimiento dependiente de una Administración Pública;Pública;074;Leganés;PLAZA;Comunidad de Madrid;5;3;;28914;JUZGADOS DE LEGANES. PLANTA TERCERA ;435633;4464397;-3,75769778547387;40,327626234713;;2021-840
Establecimiento dependiente de una Administración Pública;Pública;074;Leganés;PLAZA;Comunidad de Madrid;5;1;;28914;JUZGADOS DE LEGANES. PLANTA PRIMERA ;435633;4464397;-3,75769778547387;40,327626234713;;2021-839
Establecimiento hotelero con más de 100 plazas;Privada;074;Leganés;CALLE;el Charco;4;;;28911;RECEPCION ;434715;4464385;-3,76850190536974;40,3274468494143;;2019-686
Otros;Pública;074;Leganés;CALLE;el Charco;23;;;28911;CENTRO DE MAYORES JUAN MUÑOZ - HALL PRINCIPAL ;434716;4464517;-3,76850362238532;40,3286360467995;;2024-32
Otros;Privada;074;Leganés;CALLE;Daza Valdés;12;;;28914;POLIGONO NTRA. SRA. BUTARQUE ;436751;4463703;-3,74446959248098;40,3214597628851;08:00 - 18:00;2023-926
Centros residenciales de mayores con 200 plazas;Privada;074;Leganés;CALLE;Delco;10;;;28914;;435479;4463375;-3,75940727008584;40,3184076542698;24 H;2019-544
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;074;Leganés;CALLE;Eduardo Torroja;1;;;28914;BASIC FIT ;436697;4463314;-3,74506662107401;40,3179513486403;;2023-813
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;074;Leganés;AVDA;Europa;4;;;28915;PISCINA CUBIERTA EL CARRASCAL - ENFERMERÍA ;436602;4465101;-3,74636196622197;40,3340423819867;;2024-34
Otros;Pública;074;Leganés;AVDA;Europa;6;;;28915;Delegacion de Deportes-Despacho responsable ;436574;4465269;-3,74670825673051;40,3355536849761;;2024-132
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;074;Leganés;AVDA;Europa;12;;;28915;PABELLÓN PARDO BAZÁN - HALL PRINCIPAL ;436518;4465598;-3,74740018974366;40,3385132267055;;2024-49
Otros;Privada;079;Madrid;CALLE;de Camarena;72;bajo;;28047;Local calle / Puerta calle ;435799;4471889;-3,75649795180145;40,3951303434124;7:00 a 22:00;2018-2242
Centro educativo;Pública;079;Madrid;CALLE;de Camarena;55;;;28047;AL LADO DE SECRETARÍA Y RECEPCIÓN ESCUELA INFANTIL LA ANUNCIATA;435982;4471934;-3,75434631425378;40,3955498080178;;2018-2461
Centro educativo;Privada;079;Madrid;CALLE;de Camarena;57;;;28047;ENTRADA A COLEGIO SAN JUAN GARCIA ;435907;4471853;-3,75522183972041;40,3948143591278;L-V  7:00-19:00 h;2018-2442
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Camarena;181;;B;28047;RECEPCIÓN - HALL CENTRO MAYORES AMAT;435946;4471118;-3,75468841138279;40,3881961792908;8-20;2018-771
Centro educativo;Pública;079;Madrid;CALLE;de Cambados;1;;;28055;ESCUELA INFANTIL DOÑA FRANCISQUITA(ENTRADA) ;446568;4481106;-3,63038691858721;40,4789228918448;;2019-664
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;072;Hoyo de Manzanares;CALLE;de las Eras;0;;;28240;Campo de Futbol -Vestuario de Arbitro AYTO. HOYO DE MANZANARES;423387;4497492;-3,90583417147299;40,6247099281114;8:00 a 22:30;2021-337
Otros;Privada;058;Fuenlabrada;CALLE;Brañuelas;31;;;28947;POLIGONO COBO CALLEJA ;436054;4456448;-3,7519482512434;40,2560494733611;L a J 8:00 a 17:30 - V 8:00 A 14:00;2018-2992
Otros;Pública;058;Fuenlabrada;CALLE;de Castilla la Vieja;19;0;;28941;FONDO DEL PÀSILLO A LA DERECHA, JUNTO ZONA DE TRATAMIENTOS FUNDACIÓN ASPANDI;431662;4460703;-3,80404351736308;40,2940334889584;8-20;2018-571
Centro educativo;Privada;058;Fuenlabrada;CALLE;de Castilla la Vieja;18;;;28941;;431743;4460726;-3,80309303836886;40,2942473021765;;2018-2081
Establecimiento dependiente de una Administración Pública;Pública;058;Fuenlabrada;CALLE;de Grecia;s/n;;;28943;ESQ. AVDA. DE LAS NACIONES. RECEPCIÓN AMAS;431641;4459336;-3,80414461158382;40,2817172012143;;2018-679
Otros;Privada;058;Fuenlabrada;CALLE;Halcón;2;;;28946;Al lado de tienda Bedlan COMUNIDAD PROPIETARIOS POLIG. IND. LOS GALLEGOS;435109;4456765;-3,76309176897572;40,258832464056;24 Horas;2021-166
Establecimiento dependiente de una Administración Pública;Pública;058;Fuenlabrada;CALLE;Majadahonda;5;;;28945;HALL ENTRADA - Centro de Mayores Ramón Rubial ;432307;4459982;-3,79637910042633;40,2875908642474;Lunes a Domingo 8:30 a 20:30;2018-2225
Establecimiento dependiente de una Administración Pública;Pública;058;Fuenlabrada;AVDA;de las Provincias;33;;;28941;HALL ENTRADA - CIFE ;431975;4461068;-3,80039999624546;40,2973471095801;L a V de 7:00 a 21:45;2018-2180
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;058;Fuenlabrada;AVDA;de las Provincias;18;;;28941;A LA IZQUIERDA DE LA PUERTA DE SEGURIDAD Y GERENCIA ;431441;4460781;-3,80665184611831;40,29471804958;;2019-1930
